last_price,ask,ask_size,bid,bid_size
906.62,906.62,36.106,906.51,0.33
906.62,906.62,9.106,906.51,0.33
906.62,906.62,9.106,906.51,0.33
906.62,906.62,9.106,906.51,0.33
906.62,906.62,9.106,906.51,0.33
906.62,906.62,9.106,906.51,0.33
906.62,906.62,9.106,906.51,0.33
906.62,906.62,9.106,906.51,0.33
906.62,906.62,9.106,906.51,0.33
906.62,906.62,9.07774703,906.51,0.33
906.62,906.62,9.07774703,906.51,0.33
906.62,906.62,9.07774703,906.51,0.33
906.62,906.62,9.07774703,906.51,0.55
906.62,906.62,9.07774703,906.51,0.33
906.62,906.62,9.07774703,906.51,1.09
906.62,906.62,9.07774703,906.6,1.09
906.62,906.62,20.07774703,906.51,0.34002
906.62,906.62,20.07774703,906.51,0.34002
906.62,906.62,14.66774703,906.51,0.34002
906.62,906.62,14.66774703,906.51,0.34002
906.62,906.62,14.66774703,906.51,0.34002
906.62,906.62,14.76774703,906.51,0.34002
906.62,906.62,14.76774703,906.6,0.8
906.62,906.62,14.76774703,906.51,0.01002
906.62,906.62,14.76774703,906.51,0.34002
906.62,906.61,0.037135,906.51,0.01002
906.68,906.99,20,906.51,0.34102
906.68,906.99,20,906.51,0.34102
906.99,906.99,19.72,906.51,0.34102
906.99,906.99,19.72,906.51,0.34102
906.99,906.99,19.72,906.51,0.34102
906.99,906.99,19.72,906.51,0.34102
906.99,906.9,5.881354,906.51,0.34002
906.99,906.99,19.72,906.51,0.34002
906.99,906.99,4.852723,906.51,0.34002
906.99,906.9,4.852723,906.51,0.34102
906.99,906.9,4.852723,906.51,0.34102
906.99,906.9,4.852723,906.51,0.34102
906.5,906.88,5.81528758,906.5,1.288
905.2,906.3,1.349,905.2,6.56
905.2,906.79,1.379,905.51,1.265
905.2,906.4,1.619,905.52,0.5
905.2,906.28,1.729,905.6,1.39
905.2,906.28,1.583,905.11,0.331
906.18,905.98,1.31,905.21,1.352
906.18,906.17,1.31,905.1,0.5
906.18,906.17,1.31,905.31,1.295
906.18,906.27,20,905.4,1.16
906.27,906.27,4.4042,905.21,0.331
906.27,906.17,1.292,905.34,1.262
906.27,906.17,4.3971,905.46,0.331
906.27,906.27,4.3971,905.46,0.331
904.3,905.9,1.77,904.08,0.013
904.3,905.7,6.094544,904.5,2.36
904.3,905.8,5.273,904.08,0.013
904.3,905.4,1.33,904.08,0.013
904.3,905.1,4.86434081,904.08,0.013
905.1,905.29,4.2616,904.08,0.013
905.1,905.19,21.327,904.08,0.013
905.09,904.99,1.302,904.08,0.013
904.08,904.08,2.175,904.01,0.048
904.08,904.08,0.356,904.01,0.048
904.7,904.69,4.2722,904.01,0.048
904.7,904.5,1.285,904.01,0.048
904.5,904.4,0.757,904.01,0.048
904.4,904.3,1.31,904.01,0.048
904.4,904.5,8.47672496,904.01,1.156
904.5,904.5,25.266,904.41,0.332
902.18,904.5,7.9431,901.5,6.5
903.4,903.4,7.06234756,902.5,0.422
903.4,903.4,13.70874756,902.5,0.422
901.2,903.5,0.019175,901.2,9.82
903,903.4,1.276,903,0.033825
903.3,903.3,4.142,901.13,9.82
903.3,903.38,20,901.15,5
901.3,903.28,1.298,901.11,9.82
901.3,902.9,5.96451909,901.25,9.82
902.9,903.1,1.281,901.27,0.332
902.7,902.5,8.31,901.28,0.332
902.5,902.5,1.368,901.28,0.332
902.5,902.49,4.5967547,901.28,0.332
901.12,901.28,18.88485501,901.12,0.01344741
901.28,901.28,16.03509273,901.12,0.333
901.28,901.28,15.29623529,901.12,0.333
901.28,901.28,13.26941627,901.12,0.333
901.28,901.28,0.26941627,901.13,9.82
901.28,901.28,0.26941627,901.15,0.333
901.28,901.28,0.11741627,901.16,0.333
902.49,902.49,3.0214,901.16,0.333
902.49,902.39,1.70992909,901.16,0.332
901.9,901.9,7.909,901.27,0.332
901.27,902.39,1.265,901.28,0.955
901.27,902.1,1.317,901.29,0.332
